employee_id,department,role,tenure_years,q_work_life_balance,q_manager_effectiveness,q_career_growth,overall_satisfaction,satisfaction_category,open_comment,composite_engagement_score,clean_comment,sentiment_score,average,balance,benefits,better,career,could,culture,excellent,experience,great,growth,happy,leadership,life,love,low,management,manager,much,need,normal,nothing,okay,place,poor,special,supportive,team,work,workload,workplace
EMP0001,Engineering,Individual Contributor,1.4,2.0,4.0,4.0,2.0,Low,Too much workload,3.33,much workload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0
EMP0002,HR,Individual Contributor,1.5,4.0,5.0,2.0,4.0,High,Great place to work,3.67,great place work,0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291361688160004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291361688160004,0.0,0.0,0.0,0.0,0.4564815025551967,0.0,0.0
EMP0003,Marketing,Manager,3.3,3.0,2.0,3.0,2.0,Low,No work life balance,2.67,work life balance,0.0,0.0,0.6514719728160262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6514719728160262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888039830948105,0.0,0.0
EMP0004,Sales,Individual Contributor,5.1,4.0,4.0,3.0,5.0,High,Love my team,3.67,love team,0.6369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0
EMP0005,Engineering,Manager,6.7,3.0,4.0,2.0,4.0,High,Love my team,3.0,love team,0.6369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0
EMP0006,Engineering,Individual Contributor,1.6,2.0,4.0,4.0,3.0,Medium,Could be better,3.33,could better,0.4404,0.0,0.0,0.0,0.6796872869771657,0.0,0.7335020053971357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP0007,Engineering,Individual Contributor,8.5,1.0,4.0,3.0,3.0,Medium,Average experience,2.67,average experience,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP0008,Finance,Manager,3.2,4.0,3.0,4.0,3.0,Medium,Normal workplace,3.67,normal workplace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476
EMP0009,Sales,Individual Contributor,3.9,2.0,4.0,2.0,4.0,High,Great place to work,2.67,great place work,0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291361688160004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291361688160004,0.0,0.0,0.0,0.0,0.4564815025551967,0.0,0.0
EMP0010,Marketing,Individual Contributor,1.8,4.0,3.0,5.0,5.0,High,Happy with benefits,4.0,happy benefits,0.743,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMP0011,Engineering,Individual Contributor,0.5,3.0,2.0,2.0,3.0,Medium,Nothing special,2.33,nothing special,-0.3089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0
EMP0012,HR,Director,6.7,4.0,5.0,3.0,5.0,High,Great place to work,4.0,great place work,0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291361688160004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291361688160004,0.0,0.0,0.0,0.0,0.4564815025551967,0.0,0.0
EMP0013,Finance,Manager,6.2,3.0,5.0,4.0,4.0,High,Great place to work,4.0,great place work,0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291361688160004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6291361688160004,0.0,0.0,0.0,0.0,0.4564815025551967,0.0,0.0
EMP0014,Engineering,Individual Contributor,3.2,3.0,4.0,3.0,3.0,Medium,Average experience,3.33,average experience,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
