employee_id,department,role,tenure_years
EMP0001,Engineering,Individual Contributor,1.4
EMP0002,HR,Individual Contributor,1.5
EMP0003,Marketing,Manager,3.3
EMP0004,Sales,Individual Contributor,5.1
EMP0005,Engineering,Manager,6.7
EMP0006,Engineering,Individual Contributor,1.6
EMP0007,Engineering,Individual Contributor,8.5
EMP0008,Finance,Manager,3.2
EMP0009,Sales,Individual Contributor,3.9
EMP0010,Marketing,Individual Contributor,1.8
EMP0011,Engineering,Individual Contributor,0.5
EMP0012,HR,Director,6.7
EMP0013,Finance,Manager,6.2
EMP0014,Engineering,Individual Contributor,3.2
EMP0015,Engineering,Individual Contributor,4.2
EMP0016,Engineering,Manager,5.5
EMP0017,Engineering,Individual Contributor,0.5
EMP0018,Sales,Individual Contributor,2.4
EMP0019,Sales,Manager,6.4
EMP0020,Engineering,Individual Contributor,0.5
EMP0021,Sales,Individual Contributor,4.9
EMP0022,Engineering,Individual Contributor,0.5
EMP0023,Engineering,Manager,5.4
EMP0024,Engineering,Director,3.9
EMP0025,Sales,Manager,0.5
EMP0026,Marketing,Individual Contributor,7.5
EMP0027,Engineering,Manager,1.8
EMP0028,Sales,Manager,1.6
EMP0029,Sales,Individual Contributor,4.6
EMP0030,Engineering,Manager,7.4
EMP0031,Sales,Individual Contributor,1.0
EMP0032,Engineering,Individual Contributor,4.2
EMP0033,Engineering,Individual Contributor,5.3
EMP0034,HR,Individual Contributor,6.1
EMP0035,HR,Individual Contributor,4.5
EMP0036,Finance,Individual Contributor,2.9
EMP0037,Engineering,Individual Contributor,1.5
EMP0038,Engineering,Individual Contributor,4.3
EMP0039,Marketing,Individual Contributor,0.8
EMP0040,Sales,Individual Contributor,0.5
EMP0041,Engineering,Individual Contributor,5.3
EMP0042,Sales,Manager,6.7
EMP0043,Engineering,Individual Contributor,0.5
EMP0044,HR,Individual Contributor,1.0
EMP0045,Engineering,Manager,5.9
EMP0046,Marketing,Individual Contributor,10.2
EMP0047,Engineering,Individual Contributor,4.1
